id,name,x,y,z,rotationY,length,width,floors,footprintLengthMin,footprintLengthMax,residenceType,groundFootprintIndependent,parentBuildingID,source
AERO-01,航空楼,-1210.0,114.0,650.0,90.0,96.0,36.0,6,,,,,,第17项总平面
AERO-02,航天楼,-1090,114,640,90.0,96.0,36.0,6,,,,,,PATCH-2026-09-13-R6
AERO-03,航空航天实验中心,-1150.0,113.0,550.0,90.0,120.0,56.0,4,,,,,,第17项总平面
AI-01,AI学院楼,-460,105,80,90.0,96.0,36.0,7,,,,,,PATCH-2026-09-13-R6
AI-02,AI实验中心,-390.0,104.0,0.0,90.0,90.0,46.0,5,,,,,,第17项总平面
ARC-01,建筑学院A馆,-710.0,110.0,650.0,90.0,96.0,34.0,6,,,,,,第17项总平面
ARC-02,建筑学院B馆,-590.0,110.0,650.0,90.0,82.0,30.0,5,,,,,,第17项总平面
ARC-03,设计与模型实验中心,-650.0,109.0,550.0,90.0,72.0,42.0,3,,,,,,第17项总平面
ART-01,艺术学院主楼,1110.0,113.0,860.0,270.0,102.0,40.0,6,,,,,,第17项总平面
ART-02,美术馆,1260.0,113.0,930.0,270.0,82.0,42.0,4,,,,,,第17项总平面
ART-03,戏剧表演中心,1390.0,110.0,760.0,90.0,132.0,92.0,4,,,,,,第17项总平面
ART-04,表演中心附属排练楼,1220.0,112.0,760.0,90.0,72.0,38.0,4,,,,,,第17项总平面
ATH-01,综合体育馆,0.0,113.0,990.0,0.0,160.0,120.0,,,,,,,第17项总平面
ATH-02,体育馆前广场,0.0,112.0,1100.0,0.0,200,140,,,,,,,第17项总平面
ATH-03,游泳馆,-250.0,114.0,900.0,0.0,122.0,82.0,3,,,,,,第17项总平面
ATH-04,体育训练馆,250.0,114.0,900.0,0.0,112.0,76.0,3,,,,,,第17项总平面
ATH-05,第一400米田径场,0.0,116.0,790.0,0.0,220,155,,,,,,,第17项总平面
ATH-06-N,第一田径场北侧看台,0.0,116.0,885.0,0.0,150,24,,,,,,,第17项总平面
ATH-06-S,第一田径场南侧看台,0.0,116.0,695.0,0.0,150,24,,,,,,,第17项总平面
ATH-11,第二400米田径场,1050.0,102.0,-520.0,0.0,220.0,155.0,,,,,,,第17项总平面
ATH-12,中型看台,1050.0,102.0,-410.0,0.0,130.0,20.0,,,,,,,第17项总平面
ATH-13,体育服务楼,1270.0,103.0,-520.0,270.0,72.0,30.0,3,,,,,,第17项总平面
BUS-01,管理学院A楼,760.0,103.0,-180.0,270.0,96.0,36.0,7,,,,,,第17项总平面
BUS-02,管理学院B楼,900.0,103.0,-180.0,270.0,86.0,32.0,6,,,,,,第17项总平面
CE-01,土木A楼,-960.0,112.0,650.0,90.0,100.0,36.0,7,,,,,,第17项总平面
CE-02,土木B楼,-840.0,112.0,650.0,90.0,92.0,34.0,6,,,,,,第17项总平面
CE-03,水利工程实验中心,-900.0,111.0,550.0,90.0,92.0,46.0,4,,,,,,第17项总平面
CEN-01,主图书馆,0.0,100.0,-160.0,180.0,150.0,70.0,8,,,,,,第17项总平面
CEN-02,行政中心,0.0,101.0,-500.0,180.0,112.0,42.0,7,,,,,,第17项总平面
CEN-03,大学会堂,250.0,101.0,-360.0,270.0,122.0,82.0,3,,,,,,第17项总平面
CEN-04,学生活动中心,-250.0,100.0,-360.0,90.0,112.0,56.0,5,,,,,,第17项总平面
CEN-05,校史馆,-280.0,100.0,-180.0,90.0,86.0,46.0,4,,,,,,第17项总平面
CEN-06,大学博物馆/科学馆,280.0,100.0,-180.0,270.0,102.0,56.0,4,,,,,,第17项总平面
CEN-07,国际交流中心,-420.0,102.0,-430.0,90.0,92.0,42.0,7,,,,,,第17项总平面
CEN-08,创新创业中心,420.0,102.0,-430.0,270.0,96.0,46.0,6,,,,,,第17项总平面
CEN-09,公共教学A楼,-470.0,102.0,-280.0,90.0,112.0,38.0,7,,,,,,第17项总平面
CEN-10,公共教学B楼,-470.0,101.0,-120.0,90.0,112.0,38.0,7,,,,,,第17项总平面
CEN-11,公共教学C楼,470.0,102.0,-280.0,270.0,104.0,38.0,7,,,,,,第17项总平面
CEN-12,公共教学D楼,470.0,101.0,-120.0,270.0,104.0,38.0,7,,,,,,第17项总平面
CEN-13,公共实验A楼,-510,101,40,90.0,102.0,46.0,6,,,,,,PATCH-2026-09-13-R6
CEN-14,公共实验B楼,500.0,101.0,40.0,270.0,102.0,46.0,6,,,,,,第17项总平面
CEN-15,大学会议中心,300.0,101.0,-540.0,270.0,96.0,56.0,4,,,,,,第17项总平面
CEN-16,招生访客中心,0.0,100.0,-780.0,180.0,72.0,36.0,4,,,,,,第17项总平面
CEN-17,理工科图书分馆,-460.0,100.0,180.0,90.0,96.0,48.0,6,,,,,,第17项总平面
CEN-18,人文社科图书分馆,460.0,100.0,180.0,270.0,92.0,46.0,6,,,,,,第17项总平面
CHE-01,化工A楼,-1210.0,109.0,270.0,90.0,102.0,36.0,6,,,,,,第17项总平面
CHE-02,化工B楼,-1090.0,109.0,270.0,90.0,92.0,36.0,6,,,,,,第17项总平面
CHE-03,化工实验中心,-1150.0,108.0,180.0,90.0,96.0,52.0,4,,,,,,第17项总平面
CHM-01,化学学院楼,-50.0,109.0,650.0,180.0,96.0,34.0,7,,,,,,第17项总平面
CHM-02,基础化学实验中心,-50.0,108.0,550.0,180.0,92.0,52.0,5,,,,,,第17项总平面
CSE-01,计算机A楼,-760.0,105.0,-120.0,90.0,112.0,38.0,8,,,,,,第17项总平面
CSE-02,计算机B楼,-640.0,105.0,-120.0,90.0,102.0,36.0,7,,,,,,第17项总平面
CSE-03,计算中心,-700.0,104.0,-220.0,90.0,96.0,46.0,5,,,,,,第17项总平面
ECE-01,电子学院楼,-710.0,106.0,90.0,90.0,96.0,36.0,7,,,,,,第17项总平面
ECE-02,微电子实验中心,-590.0,105.0,0.0,90.0,86.0,46.0,5,,,,,,第17项总平面
ECO-01,经济学院楼,600.0,103.0,-180.0,270.0,86.0,32.0,7,,,,,,第17项总平面
EDU-01,教育学院楼,820.0,108.0,430.0,270.0,86.0,32.0,6,,,,,,第17项总平面
EE-01,电气学院楼,-710.0,108.0,270.0,90.0,102.0,36.0,7,,,,,,第17项总平面
EE-02,电力系统实验中心,-590.0,107.0,180.0,90.0,92.0,46.0,4,,,,,,第17项总平面
ENV-01,环境学院楼,-470.0,108.0,650.0,90.0,86.0,32.0,6,,,,,,第17项总平面
ENV-02,环境实验中心,-390.0,107.0,550.0,90.0,78.0,42.0,4,,,,,,第17项总平面
EPE-01,能源动力A楼,-960.0,109.0,270.0,90.0,102.0,36.0,7,,,,,,第17项总平面
EPE-02,能源动力B楼,-840.0,109.0,270.0,90.0,96.0,36.0,6,,,,,,第17项总平面
EPE-03,动力实验中心,-900.0,108.0,180.0,90.0,106.0,52.0,4,,,,,,第17项总平面
