id,name,clusterID,x,y,z,rotationY,mainEntranceFacing,length,width,floors,legacyX,legacyY,legacyZ,legacyRotationY,displacementM,statusBefore,statusAfter,yPolicy
FIN-01,金融学院楼,G-EAST-M01-BUS-ECO,620,102,-350,90,东,86,32,7,600,102,-320,270,36.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ECO-01,经济学院楼,G-EAST-M01-BUS-ECO,620,103,-230,90,东,86,32,7,600,103,-180,270,53.9,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
BUS-01,管理学院A楼,G-EAST-M01-BUS-ECO,750,103,-350,270,西,96,36,7,760,103,-180,270,170.3,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
BUS-02,管理学院B楼,G-EAST-M01-BUS-ECO,750,103,-230,270,西,86,32,6,900,103,-180,270,158.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
IGS-01,国际研究生院,G-EAST-M01-BUS-ECO,685,103,-145,180,南,92,36,7,900,103,-360,270,304.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
MARX-01,马克思主义学院楼,G-EAST-H01-HUM-CIVIC,620,104,170,90,东,78,30,6,650,104,120,270,58.3,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
GPA-01,公共管理楼,G-EAST-H01-HUM-CIVIC,760,105,170,270,西,86,32,6,820,105,120,270,78.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
FLA-01,外国语学院楼,G-EAST-H01-HUM-CIVIC,690,106,100,0,北,88,32,7,820,106,280,270,222,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
HUM-01,人文学院楼,G-EAST-H01-HUM-CIVIC,690,106,240,180,南,88,32,7,650,106,280,270,56.6,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
SOC-01,社会科学楼,G-EAST-H02-SOC-EDU,620,107,345,90,东,82,30,6,990,107,280,270,375.7,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
PSY-01,心理认知科学楼,G-EAST-H02-SOC-EDU,760,108,345,270,西,86,32,6,990,108,430,270,245.2,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
JRN-01,新闻传播楼,G-EAST-H02-SOC-EDU,690,108,290,0,北,86,32,6,650,108,430,270,145.6,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EDU-01,教育学院楼,G-EAST-H02-SOC-EDU,690,108,400,180,南,86,32,6,820,108,430,270,133.4,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
