id,name,clusterID,x,y,z,rotationY,mainEntranceFacing,length,width,floors,legacyX,legacyY,legacyZ,legacyRotationY,displacementM,statusBefore,statusAfter,yPolicy
CHE-01,化工A楼,G-W01-CHE-SAF,-1200,109,-195,90,东,102,36,6,-1210,109,270,90,465.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
CHE-02,化工B楼,G-W01-CHE-SAF,-1200,109,-70,90,东,92,36,6,-1090,109,270,90,357.4,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
CHE-03,化工实验中心,G-W01-CHE-SAF,-1090,108,-190,270,西,96,52,4,-1150,108,180,90,374.8,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
SAF-01,安全学院楼,G-W01-CHE-SAF,-1090,107,-65,270,西,86,32,6,-1210,107,90,90,196.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
SAF-02,安全实验中心,G-W01-CHE-SAF,-1145,106,45,180,南,82,44,4,-1100,106,0,90,63.6,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EE-01,电气学院楼,G-W02-EE-EPE,-1200,108,180,90,东,102,36,7,-710,108,270,90,498.2,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EPE-01,能源动力A楼,G-W02-EE-EPE,-1200,109,320,90,东,102,36,7,-960,109,270,90,245.2,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EE-02,电力系统实验中心,G-W02-EE-EPE,-1090,107,180,270,西,92,46,4,-590,107,180,90,500.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EPE-02,能源动力B楼,G-W02-EE-EPE,-1090,109,320,270,西,96,36,6,-840,109,270,90,255.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
EPE-03,动力实验中心,G-W02-EE-EPE,-1145,108,420,180,南,106,52,4,-900,108,180,90,343.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
NUC-01,核科学楼,G-W03-NUC,-985,112,175,90,东,92,36,6,-1210,112,450,90,355.3,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
NUC-02,新能源楼,G-W03-NUC,-945,112,290,270,西,96,36,6,-1090,112,450,90,215.9,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
NUC-03,能源实验中心,G-W03-NUC,-995,111,405,90,东,102,52,4,-1150,111,350,90,164.5,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
AERO-03,航空航天实验中心,G-W04-AERO,-1150,113,520,0,北,120,56,4,-1150,113,550,90,30.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
AERO-01,航空楼,G-W04-AERO,-1200,114,615,90,东,96,36,6,-1210,114,650,90,36.4,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
AERO-02,航天楼,G-W04-AERO,-1095,114,645,180,南,96,36,6,-1090,114,640,90,7.1,R6_VALID_UNTIL_OVERRIDDEN,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
CSE-01,计算机A楼,G-E01-DIGITAL,-815,105,-190,0,北,112,38,8,-760,105,-120,90,89.0,R6_VALID_UNTIL_OVERRIDDEN,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
CSE-02,计算机B楼,G-E01-DIGITAL,-680,105,-190,0,北,102,36,7,-640,105,-120,90,80.6,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
CSE-03,计算中心,G-E01-DIGITAL,-590,104,-65,270,西,96,46,5,-700,104,-220,90,190.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
AI-01,人工智能学院楼,G-E01-DIGITAL,-680,105,100,180,南,96,36,7,-460,105,80,90,220.9,R6_VALID_UNTIL_OVERRIDDEN,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
AI-02,AI实验中心,G-E01-DIGITAL,-815,104,100,180,南,90,46,5,-390,104,0,90,436.6,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ECE-01,电子学院楼,G-E02-ICT-ECE,-815,106,190,0,北,96,36,7,-710,106,90,90,145.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ICT-01,信息通信楼,G-E02-ICT-ECE,-690,107,190,0,北,96,36,7,-960,107,90,90,287.9,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ECE-02,微电子实验中心,G-E02-ICT-ECE,-815,105,300,180,南,86,46,5,-590,105,0,90,375.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ICT-02,通信实验中心,G-E02-ICT-ECE,-690,106,300,180,南,90,46,5,-840,106,0,90,335.4,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ME-01,机械A楼,G-E03-ME-MAT,-815,111,360,0,北,102,36,7,-960,111,450,90,170.7,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ME-02,机械B楼,G-E03-ME-MAT,-690,111,360,0,北,96,36,6,-840,111,450,90,174.9,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
MAT-01,材料学院楼,G-E03-ME-MAT,-815,109,455,180,南,92,34,6,-710,109,450,90,105.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
MAT-02,材料实验中心,G-E03-ME-MAT,-690,108,455,180,南,86,46,4,-590,108,350,90,145.0,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ME-03,先进制造实验楼,G-E03-ME-MAT,-600,110,410,270,西,112,52,4,-900,110,350,90,305.9,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
NEE-01,国家卓越工程师学院,G-E04-ENV-TRA-NEE,-530,107,280,90,东,102,40,7,-470,107,280,90,60.0,R6_VALID_UNTIL_OVERRIDDEN,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
NEE-02,工程实践中心,G-E04-ENV-TRA-NEE,-386,106,280,270,西,102,52,4,-390,106,180,90,100.1,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
ENV-01,环境学院楼,G-E04-ENV-TRA-NEE,-515,108,365,0,北,86,32,6,-470,108,650,90,288.5,R7_RE-SOLVE,R7_SOLVED_CANDIDATE_PENDING_FULL_FREEZE,retain current effective building Y for candidate; terrain/platform audit remains required
